Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
Canonical_Pathways	REACTOME_M_PHASE	373	17	0.000120845	0.003771834	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:LEMD2:NEK6:PSMB7:PPP2R1B:HIST4H4:SETD8:CASC5:PSMD3:RANGAP1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_M_PHASE
Canonical_Pathways	REACTOME_UCH_PROTEINASES	93	8	0.000124856	0.003858057	RUVBL1:HIST1H2AC:HIST1H2AD:HIST1H2AG:HIST1H2AH:HIST1H2AI:HIST1H2AJ:HIST1H2AK:HIST1H2AL:HIST1H2AM:PSMB7:INO80:PSMD3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_UCH_PROTEINASES
Canonical_Pathways	BIOCARTA_DC_PATHWAY	17	4	0.000130414	0.00398989	IL3:CSF2:IL13:IL4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_DC_PATHWAY
Canonical_Pathways	REACTOME_G2_M_CHECKPOINTS	147	10	0.000133715	0.00405078	HIST2H4A:HIST2H4B:RAD50:HIST1H4A:HIST1H4B:HIST1H2BB:HIST1H4C:HIST1H2BC:HIST1H2BE:HIST1H4D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H4F:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H4L:PSMB7:HIST4H4:CDK2:RMI2:PSMD3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_G2_M_CHECKPOINTS
Canonical_Pathways	REACTOME_RUNX3_REGULATES_CDKN1A_TRANSCRIPTION	7	3	0.000135781	0.004073423	RUNX3:SMAD3:SMAD4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RUNX3_REGULATES_CDKN1A_TRANSCRIPTION
Canonical_Pathways	PID_IL12_STAT4_PATHWAY	32	5	0.000144443	0.004291615	IL18R1:IL18RAP:IRF1:IL13:IL2RA	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PID_IL12_STAT4_PATHWAY
Canonical_Pathways	REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	52	6	0.000176917	0.005206416	RORC:RORA:MED1:THRA:NR1D1:RARA	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY
Canonical_Pathways	REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	75	7	0.000198691	0.005792016	HIST2H4A:HIST2H4B:RAD50:HIST1H4A:HIST1H4B:HIST1H2BB:HIST1H4C:HIST1H2BC:HIST1H2BE:HIST1H4D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H4F:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H4L:HIST4H4:RMI2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT
Canonical_Pathways	BIOCARTA_CYTOKINE_PATHWAY	19	4	0.000207075	0.005980013	IL3:IL13:IL4:IL6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CYTOKINE_PATHWAY
Canonical_Pathways	REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS	55	6	0.000241973	0.00692313	PEX14:HIST1H2BB:HIST1H2BC:HIST1H2BE:HIST1H2BF:HIST1H2BG:HIST1H2BI:HIST1H2BL:HIST1H2BM:RTF1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS
Canonical_Pathways	BIOCARTA_TH1TH2_PATHWAY	20	4	0.000255588	0.007245563	IL18R1:IL4:IL2RA:IL4R	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_TH1TH2_PATHWAY
Canonical_Pathways	REACTOME_CELL_CYCLE_MITOTIC	515	20	0.000269216	0.007562523	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:LEMD2:NEK6:PSMB7:FEN1:PPP2R1B:HIST4H4:CDK2:SETD8:CASC5:PSMD3:RBX1:RANGAP1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CELL_CYCLE_MITOTIC
Canonical_Pathways	SA_FAS_SIGNALING	9	3	0.000318182	0.008857505	S100A10:CFL1:BCL2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/SA_FAS_SIGNALING
Canonical_Pathways	REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE	59	6	0.000356437	0.009833854	HIST2H4A:HIST2H4B:RAD50:HIST1H4A:HIST1H4B:HIST1H2BB:HIST1H4C:HIST1H2BC:HIST1H2BE:HIST1H4D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H4F:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H4L:HIST4H4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE
Canonical_Pathways	WP_IL18_SIGNALING_PATHWAY	265	13	0.000373784	0.010221172	IL18R1:IL18RAP:IRF1:IL13:TNFAIP3:IL6:TRAF1:IL2RA:ACADS:ITGA2B:BCL2:KLF2:RANGAP1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_IL18_SIGNALING_PATHWAY
Canonical_Pathways	REACTOME_CELL_CYCLE_CHECKPOINTS	268	13	0.000415977	0.011275155	HIST2H4A:HIST2H4B:RAD50:HIST1H4A:HIST1H4B:HIST1H2BB:HIST1H4C:HIST1H2BC:HIST1H2BE:HIST1H4D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H4F:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H4L:PSMB7:PPP2R1B:HIST4H4:CDK2:CASC5:RMI2:PSMD3:RANGAP1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CELL_CYCLE_CHECKPOINTS
Canonical_Pathways	REACTOME_INTERLEUKIN_21_SIGNALING	10	3	0.000449156	0.012068626	IL21:IL21R:STAT5B	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INTERLEUKIN_21_SIGNALING
Canonical_Pathways	WP_LUNG_FIBROSIS	62	6	0.000467142	0.012337338	CSF2:IL13:IL4:IL6:CSF3:RTEL1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_LUNG_FIBROSIS
Canonical_Pathways	WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION	62	6	0.000467142	0.012337338	IL3:CSF2:IL6:IKZF1:CSF3:ITGA2B	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION
Canonical_Pathways	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	315	14	0.000604984	0.015842366	IL3:CSF2:RGL2:SYNGAP1:IL6:PSMB7:IL2RA:RASGEF1A:PPP2R1B:ERBB2:PSMD3:ITGA2B:PHB:RBX1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MAPK_FAMILY_SIGNALING_CASCADES
Canonical_Pathways	BIOCARTA_IL4_PATHWAY	11	3	0.000610272	0.015846555	IL4:STAT6:IL4R	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_IL4_PATHWAY
Canonical_Pathways	REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR	67	6	0.000709245	0.018263051	RAD50:MUS81:RAD51B:RAD51:RMI2:RTEL1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR
Canonical_Pathways	PID_RXR_VDR_PATHWAY	26	4	0.000731081	0.018516734	MED1:THRA:RARA:BCL2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PID_RXR_VDR_PATHWAY
Canonical_Pathways	BIOCARTA_NKT_PATHWAY	26	4	0.000731081	0.018516734	IL18R1:CSF2:IL4:IL4R	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_NKT_PATHWAY
Canonical_Pathways	WP_INTEGRATED_CANCER_PATHWAY	45	5	0.000739146	0.018568791	POU2F1:RAD50:CDK2:SMAD3:BCL2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_INTEGRATED_CANCER_PATHWAY
Canonical_Pathways	REACTOME_INFECTIOUS_DISEASE	872	27	0.000903987	0.022526767	HIST2H4A:HIST2H4B:TLR1:CYFIP2:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2AG:HIST1H4I:HIST1H2AH:HIST1H2BL:HIST1H2AI:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H2AK:HIST1H2AL:HIST1H3I:HIST1H4L:HIST1H3J:HIST1H2AM:ITPR3:IL6:PSMB7:FEN1:HIST4H4:RCOR1:SMAD3:FURIN:NOD2:PSMD3:WIPF2:NMT1:SMAD4:RBX1:RANGAP1:XRCC6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INFECTIOUS_DISEASE
Canonical_Pathways	WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS	125	8	0.000927026	0.022916087	IL21:IL3:CSF2:IL13:IL4:IL6:IL33:CSF3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS
Canonical_Pathways	KEGG_HOMOLOGOUS_RECOMBINATION	28	4	0.000976334	0.023943419	RAD50:MUS81:RAD51B:RAD51	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_HOMOLOGOUS_RECOMBINATION
Canonical_Pathways	KEGG_NON_HOMOLOGOUS_END_JOINING	13	3	0.001032915	0.024741923	RAD50:FEN1:XRCC6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_NON_HOMOLOGOUS_END_JOINING
Canonical_Pathways	BIOCARTA_GATA3_PATHWAY	13	3	0.001032915	0.024741923	IL13:IL4:GATA3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_GATA3_PATHWAY
Canonical_Pathways	WP_DEVELOPMENT_OF_PULMONARY_DENDRITIC_CELLS_AND_MACROPHAGE_SUBSETS	13	3	0.001032915	0.024741923	BATF3:CSF2:IKZF1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_DEVELOPMENT_OF_PULMONARY_DENDRITIC_CELLS_AND_MACROPHAGE_SUBSETS
Canonical_Pathways	PID_BARD1_PATHWAY	29	4	0.00111837	0.026379878	RAD50:CDK2:RAD51:XRCC6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PID_BARD1_PATHWAY
Canonical_Pathways	WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION	29	4	0.00111837	0.026379878	IL18R1:CSF2:IL4:IL4R	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION
Canonical_Pathways	REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	668	22	0.001232006	0.028840148	UBXN11:HIST2H4A:HIST2H4B:CYFIP2:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:DEF6:SGK223:KDM4C:PKN3:CFL1:PPP2R1B:HIST4H4:CASC5:GRB7:WIPF2:PTRF:RANGAP1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3
Canonical_Pathways	REACTOME_METALLOPROTEASE_DUBS	30	4	0.001274283	0.029166922	HIST1H2AC:HIST1H2AD:HIST1H2AG:HIST1H2AH:HIST1H2AI:HIST1H2AJ:HIST1H2AK:HIST1H2AL:HIST1H2AM	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_METALLOPROTEASE_DUBS
Canonical_Pathways	WP_EXTRACELLULAR_VESICLEMEDIATED_SIGNALING_IN_RECIPIENT_CELLS	30	4	0.001274283	0.029166922	TSPAN8:SMAD3:ERBB2:SMAD4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_EXTRACELLULAR_VESICLEMEDIATED_SIGNALING_IN_RECIPIENT_CELLS
Canonical_Pathways	PID_IL2_STAT5_PATHWAY	30	4	0.001274283	0.029166922	IL4:IL2RA:STAT5B:BCL2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PID_IL2_STAT5_PATHWAY
Canonical_Pathways	REACTOME_PROTEIN_UBIQUITINATION	75	6	0.001285992	0.029218501	PEX14:HIST1H2BB:HIST1H2BC:HIST1H2BE:HIST1H2BF:HIST1H2BG:HIST1H2BI:HIST1H2BL:HIST1H2BM:RTF1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PROTEIN_UBIQUITINATION
Canonical_Pathways	WP_GPR40_PATHWAY	14	3	0.00129908	0.029300416	PLCL1:ITPR3:PLCD3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_GPR40_PATHWAY
Canonical_Pathways	BIOCARTA_IL17_PATHWAY	15	3	0.001604671	0.035672172	IL3:IL6:CSF3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_IL17_PATHWAY
Canonical_Pathways	WP_COVID19_ADVERSE_OUTCOME_PATHWAY	15	3	0.001604671	0.035672172	IL6:IL2RA:CSF3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_COVID19_ADVERSE_OUTCOME_PATHWAY
Canonical_Pathways	REACTOME_HEMOSTASIS	596	20	0.001627775	0.035927328	KIF1B:S100A10:IRF1:KIF3A:LRRC16A:HIST1H3A:HIST1H3B:HIST1H3C:HIST1H3D:HIST1H3E:HIST1H3F:HIST1H3G:HIST1H3H:HIST1H3I:HIST1H3J:KIFC1:ITPR3:GATA3:KIF11:MRVI1:CFL1:CTSW:PPP2R1B:CDK2:RAD51B:RCOR1:GRB7:ITGA2B:SLC7A10	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HEMOSTASIS
Canonical_Pathways	WP_IL4_SIGNALING_PATHWAY	54	5	0.001701407	0.037286153	IL4:GATA3:STAT6:IL4R:STAT5B	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_IL4_SIGNALING_PATHWAY
Canonical_Pathways	REACTOME_SUMOYLATION	170	9	0.001730926	0.037665929	HIST2H4A:HIST2H4B:HIST1H4A:HIST1H4B:HIST1H4C:HIST1H4D:HIST1H4E:HIST1H4F:HIST1H4H:HIST1H4I:HIST1H4J:HIST1H4K:HIST1H4L:UHRF2:HIST4H4:HDAC7:RORA:NSMCE1:THRA:RARA:L3MBTL2:RANGAP1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SUMOYLATION
Canonical_Pathways	PID_IL2_1PATHWAY	55	5	0.00184735	0.039918269	IL2RA:CDK2:IKZF3:STAT5B:BCL2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PID_IL2_1PATHWAY
Canonical_Pathways	BIOCARTA_IL7_PATHWAY	16	3	0.001951671	0.041879613	IL7R:STAT5B:BCL2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_IL7_PATHWAY
Canonical_Pathways	KEGG_PATHWAYS_IN_CANCER	320	13	0.002089662	0.044531416	MECOM:IL6:TRAF1:CDK2:RAD51:SMAD3:ERBB2:RARA:STAT5B:ITGA2B:SMAD4:BCL2:RBX1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_PATHWAYS_IN_CANCER
Reactome	REACTOME_MEIOTIC_RECOMBINATION	55	13	2.93E-12	4.85E-09	HIST2H4A:HIST2H4B:RAD50:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:HIST4H4:CDK2:RAD51:PSMC3IP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MEIOTIC_RECOMBINATION
Reactome	REACTOME_SIGNALING_BY_INTERLEUKINS	447	30	4.66E-11	3.85E-08	RORC:POU2F1:IL1RL1:IL18R1:IL18RAP:IL21:IL7R:IL3:CSF2:IL13:IL4:HIST1H3A:HIST1H3B:HIST1H3C:HIST1H3D:HIST1H3E:HIST1H3F:HIST1H3G:HIST1H3H:HIST1H3I:HIST1H3J:IL6:IL33:PSMB7:IL2RA:GATA3:CFL1:PPP2R1B:STAT6:RORA:SMAD3:IL4R:IL21R:NOD2:PSMD3:CSF3:STAT5B:BCL2:RBX1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SIGNALING_BY_INTERLEUKINS
Reactome	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	35	10	1.26E-10	6.97E-08	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:KDM4C:HIST4H4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3
Reactome	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	52	11	5.15E-10	1.95E-07	HIST2H4A:HIST2H4B:RUVBL1:HIST1H4A:HIST1H4B:HIST1H2BB:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H4F:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H4L:HIST4H4:CASC5:OIP5	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE
Reactome	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	41	10	7.09E-10	1.95E-07	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:HIST4H4:SETD8	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES
Reactome	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	41	10	7.09E-10	1.95E-07	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:PHF1:HIST4H4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA
Reactome	REACTOME_DNA_METHYLATION	32	9	1.27E-09	2.69E-07	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:HIST4H4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DNA_METHYLATION
Reactome	REACTOME_MEIOSIS	87	13	1.30E-09	2.69E-07	HIST2H4A:HIST2H4B:RAD50:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:HIST4H4:CDK2:RAD51:PSMC3IP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MEIOSIS
Reactome	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	57	11	1.46E-09	2.69E-07	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:HIST4H4:CDK2:RARA	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS
Reactome	REACTOME_HDACS_DEACETYLATE_HISTONES	59	11	2.16E-09	3.57E-07	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2AG:HIST1H4I:HIST1H2AH:HIST1H2BL:HIST1H2AI:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H2AK:HIST1H2AL:HIST1H3I:HIST1H4L:HIST1H3J:HIST1H2AM:HIST4H4:RCOR1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HDACS_DEACETYLATE_HISTONES
Reactome	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	60	11	2.61E-09	3.59E-07	HIST2H4A:HIST2H4B:RAD50:HIST1H4A:HIST1H4B:HIST1H2BB:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H4F:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H1B:HIST1H4L:HIST4H4:CDK2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE
Reactome	REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	60	11	2.61E-09	3.59E-07	RUNX3:HIST2H4A:HIST2H4B:RUVBL1:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:HIST4H4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX
